,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hct116 AUC score,hela AUC score,hl60 AUC score
10,79.50649093251411,84.87595419847328,82.69290362565852,83.77020875843667,71.35260115606937,79.11841613746732,75.69692637598284,77.36986301369863,48.178311187312474,56.32183908045977,53.493449781659386,54.87122060470324,52.88871271429987,26.617778218214248,9.424239421266476,11.069269646219404,48.971098265895954,22.38150289017341,12.92485549132948,15.722543352601157,31.50450064294899,16.67381054436348,24.432061723103303,27.389627089584227,0.4493209963678201,0.7443036516700321,0.5626047849655151,0.7913264159424633,0.7759398731261762,0.8256724694851786
11,80.46774353384204,85.55114988104678,83.57607685156492,84.55208088408183,71.39884393063583,78.79011434894872,76.34024303073625,77.54583408967144,47.40677239605658,55.31453362255966,55.67685589519651,55.49510337323179,53.45357249033792,27.014171043504113,9.027846595976612,10.50440987018135,49.387283236994215,22.01156069364162,13.294797687861271,15.306358381502891,32.790398628375485,14.616373767681099,26.489498499785686,26.103729104157736,0.44442104448319986,0.7501782656864351,0.5499563813209534,0.8068499650384576,0.7829227043603006,0.8255295429208471
12,81.75602021603409,86.66348752185662,84.4747443445925,85.55511965476657,70.82080924855492,78.57142857142857,75.48248749106504,76.99598979219833,46.93527646806687,54.73537604456824,57.20524017467249,55.943060498220646,54.02834208700823,27.72767812902586,8.314339510454861,9.92964027351105,48.83236994219653,21.98843930635838,13.317919075144507,15.861271676300579,33.690527218174026,13.244749249892843,27.86112301757394,25.20360051435919,0.43653475159866006,0.7541107773730316,0.5441430807113647,0.8074336979322745,0.7973695726563219,0.8204842351999543
13,82.46952730155584,87.08247585879373,85.2339634335296,86.14830475295591,71.46820809248555,78.5609934258583,76.87634024303074,77.70953757225433,47.44963566223746,55.3314121037464,55.895196506550214,55.611875452570615,54.513923297988306,27.955604003567537,8.086413635913189,9.444059062530968,49.73410404624277,21.734104046242773,13.572254335260114,14.959537572254336,32.91898842691813,14.53064723531933,26.575225032147447,25.975139305615087,0.4453135316536968,0.7623799321390017,0.5453581213951111,0.8120910748177005,0.8005545794343323,0.8491838893176686
14,74.48221187196512,88.76673995602638,68.81004028509452,77.524657414681,64.39306358381502,81.32470119521913,58.363116511794146,67.95672076570953,45.47792541791685,55.049504950495056,40.46579330422125,46.644295302013425,44.00951342780696,30.47269844415816,5.5693191953225645,19.94846893271232,37.75722543352601,26.635838150289015,8.670520231213873,26.936416184971097,23.83197599657094,21.645949421345907,19.459922846120875,35.06215173596228,0.4526526449039438,0.7558393943051933,0.5382583141326904,0.8186869443612027,0.7956635540464064,0.8655918589028958
15,80.78485779407393,86.5824015556636,82.7858692283855,84.64158415841584,69.13294797687861,78.08061420345489,72.69478198713367,75.29150471960023,48.13544792113159,55.89080459770115,56.62299854439592,56.254519161243664,52.948171638093356,27.836686155980576,8.20533148350015,11.009810722425923,47.028901734104046,22.104046242774565,13.202312138728322,17.664739884393065,33.34762108872696,14.78782683240463,26.318045435062153,25.54650664380626,0.44680784053014955,0.7544514241412608,0.5558089017868042,0.8153780841074818,0.7969558179018438,0.8265871994968985
16,82.68754335546527,87.47014806559466,85.12550356368143,86.28190027483313,70.98265895953757,78.97108524220803,75.16082916368835,77.01886101446621,49.3784826403772,57.27204220045215,55.31295487627366,56.275453535727515,54.44455455356258,28.242988801902687,7.79902883757804,9.513427806956694,48.6242774566474,22.358381502890172,12.947976878612716,16.069364161849713,32.57608229747107,16.80240034290613,24.30347192456065,26.318045435062153,0.4537758430436848,0.7628849811070803,0.5398265719413757,0.82269815702727,0.8005011121201353,0.8491410113483693
17,83.480329006045,86.70449317589328,87.60458630306786,87.15221579961464,72.64739884393063,78.46316531547409,79.55682630450322,79.00621118012423,49.078439777111015,56.34379263301501,60.11644832605532,58.169014084507054,56.03012585472204,27.45020315132296,8.591814488157764,7.927856505797245,51.46820809248555,21.179190751445088,14.127167630057805,13.22543352601156,35.40505786540935,13.673381911701671,27.43249035576511,23.489069867123874,0.4438112541417931,0.7660831353021882,0.5485433340072632,0.8183154779742284,0.8031317039786263,0.8387502501214875
18,84.23347537409573,86.84649189271101,88.79764487139758,87.81123113460507,73.38728323699422,78.34767641996557,81.34381701215153,79.8176398386814,49.121303043291896,55.98208573256558,63.682678311499274,59.584610146407904,56.79318204340501,27.440293330690714,8.601724308790011,7.16480031711426,52.62427745664739,20.763005780346823,14.543352601156071,12.06936416184971,37.505357908272615,11.615945135019288,29.48992713244749,21.38876982426061,0.4427017165199679,0.7708129742192329,0.5280002355575562,0.8429820946958346,0.8119044563772522,0.823085498670783
19,85.4424734912298,88.16414025417241,89.21599008366904,88.68694647670388,73.80346820809248,79.13895694784739,80.80771979985704,79.96463306808135,47.87826832404629,55.69164265129684,56.25909752547307,55.97393193338161,57.06074720047567,28.381726290754138,7.660291348726587,6.8972351600436035,52.27745664739884,21.526011560693643,13.780346820809248,12.416184971098264,33.13330475782254,14.744963566223745,26.360908701243034,25.760822974710674,0.44309293857472226,0.77619742484046,0.5361025333404541,0.8456354260313655,0.8191414629973283,0.850713203556013
