,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score
10,74.57891149839352,83.85137549124687,73.33229182940165,78.2398533211101,65.15220354384371,75.64264643910661,65.24900036350418,70.06245120999219,50.72254335260116,81.36300417246176,39.687924016282224,53.351573187414516,45.7014896309999,28.877421867393632,8.801479894849576,16.619608606756888,40.776919582008176,24.375283961835528,13.130395274875056,21.717401181281236,28.179190751445088,22.54335260115607,6.454720616570328,42.822736030828516,0.6336195044108963,0.7277919778612107,0.583536684513092,0.5432041642567959,0.792993332334432,0.7823271607375528
11,76.00038944601305,80.09174311926606,81.83096391188876,80.95201298199521,66.53793730122672,72.724039829303,74.33660487095601,73.52148121517168,59.48940269749519,77.07442258340463,61.12618724559024,68.18009837306091,50.99795540843151,25.00243403758154,12.67646772466167,11.323142829325285,46.45615629259427,20.08178100863244,17.423898228078148,16.038164470695136,43.40077071290944,16.088631984585742,12.909441233140656,27.601156069364162,0.6108860334389664,0.7278782711488333,0.5802790522575378,0.5926450742240217,0.7726251123763861,0.7833084915965833
12,67.19890955116347,86.40730067243035,56.20996719262615,68.11168954093705,59.631985461154024,78.7825059101655,48.45510723373319,60.00450146297547,48.21772639691715,83.30550918196995,33.85345997286296,48.142788229618915,35.03066887352741,32.168240677636064,5.510661084607146,27.290429364229386,30.28169014084507,29.350295320308952,8.155383916401636,32.212630622444344,24.03660886319846,24.18111753371869,4.8169556840077075,46.96531791907515,0.6317296032672638,0.7284471736147173,0.5768976211547852,0.5132157316367842,0.7914793726900409,0.7804961108698227
13,75.47463732840035,87.6308646762311,70.61396656772379,78.207457392508,64.24352567014994,77.28326379230413,60.596146855688836,67.92991035044825,51.252408477842,79.92227979274611,41.85888738127544,54.94211932324132,44.00739947424788,31.46723785415247,6.211663908090741,18.31369876350891,37.869150386188096,26.374375283961836,11.13130395274875,24.62517037710132,29.72061657032755,21.53179190751445,7.466281310211946,41.28131021194605,0.6189291010967513,0.7517728048744388,0.5666385889053345,0.5728070175438597,0.8223735141344524,0.8009576407259709
14,75.71804108655438,86.49355501587894,72.3324480549914,78.78169133911858,65.49295774647888,77.57385854968666,62.99527444565612,69.52858575727183,57.61078998073218,78.2319391634981,55.83446404341926,65.16231195566112,45.078376010125595,30.63966507642878,7.039236685814429,17.242722227631194,39.368468877782824,26.124488868696048,11.38119036801454,23.125851885506588,39.64354527938343,17.967244701348747,11.03082851637765,31.358381502890175,0.6306894251184427,0.7590617020137929,0.5711145401000977,0.5723057644110275,0.8317850364598941,0.8005249667680078
15,76.64297536753968,83.72093023255815,77.61287298859553,80.55127685447911,65.53839164016357,74.27222659323367,68.62958924027626,71.3395050066125,57.80346820809249,79.42913385826772,54.74898236092266,64.81927710843374,48.36919482036803,28.27378054717165,9.40512121507156,13.951903417388763,42.88959563834621,22.648796001817356,14.856883234893232,19.604725124943208,38.872832369942195,18.930635838150287,10.067437379576107,32.129094412331405,0.6320474041751376,0.7439461366351424,0.5800473690032959,0.5727106227106227,0.8085449755269204,0.7919093260157144
16,77.21740823678319,86.20074879657693,75.53507264489923,80.51623646960864,66.5833711949114,76.73350041771094,66.77571792075608,71.40913508260446,55.8766859344894,80.52516411378556,49.93215739484396,61.64154103852597,47.07428682698861,30.143121409794567,7.535780352448642,15.246811410768183,41.73103134938664,24.852339845524764,12.653339391185824,20.763289413902772,35.45279383429673,20.423892100192678,8.574181117533719,35.54913294797688,0.633228451520711,0.7629950744046562,0.568607747554779,0.595026026604974,0.8310545899510537,0.7960221963385583
17,79.3106805569078,84.59546925566343,81.67473832213716,83.10945075908116,67.51476601544752,74.65472191116088,72.70083605961469,73.6648250460405,57.03275529865125,75.98214285714285,57.73405698778833,65.6129529683886,50.9005939051699,28.410086651737902,9.268815110505306,11.420504332586894,45.433893684688776,22.080872330758748,15.42480690595184,17.060427078600636,40.99229287090559,16.040462427745663,12.95761078998073,30.009633911368017,0.5828012234208,0.75194253268194,0.5698769688606262,0.5756024677077309,0.8198700179802219,0.8007684486911202
18,76.65271151786584,87.01683003513963,73.5041399781284,79.69173441734416,64.87960018173557,77.2254857659286,62.12286441294075,68.85576148267526,54.86512524084779,78.77813504823152,49.864314789687924,61.071873701703375,45.808587284587674,30.844124233278166,6.834777528965047,16.512510953169116,38.82326215356656,26.056338028169012,11.449341208541572,23.671058609722852,35.40462427745665,19.460500963391137,9.53757225433526,35.59730250481696,0.6035568908703237,0.7539384828224485,0.5778335332870483,0.5567572778099094,0.8244056537808412,0.7979865032047486
19,78.52205238048874,86.86939708208824,77.20668645524137,81.7535153019024,65.9700136301681,76.40117994100295,65.9033078880407,70.76502732240438,55.82851637764933,79.40865892291447,51.01763907734057,62.12308963238332,48.116054911887844,30.405997468600916,7.272904293642293,14.205043325868951,41.185824625170376,24.784189004997728,12.721490231712856,21.308496138119036,36.22350674373796,19.60500963391137,9.393063583815028,34.77842003853564,0.6102059169570451,0.7607963054515255,0.5567408800125122,0.571727395411606,0.8262629857157128,0.8095403785156816
