,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hl60 AUC score
10,77.13530480753346,81.11956788607905,84.3072212299056,82.6826826826827,62.23506743737958,69.24408540103866,72.85974499089252,71.00591715976331,68.41130724601902,75.4115017272912,73.3399209486166,74.36128644424406,54.58450355195771,22.55080125557575,12.704444077317035,10.160251115149514,46.24277456647399,15.992292870905588,20.539499036608863,17.22543352601156,45.8091593630416,22.602147882977413,14.936427601530674,16.652265152450315,0.7112238472106507,0.7179922065687782,0.5719245672225952,0.5827549643339117,0.7663133053640996,0.793971357516508
11,76.97009747232777,83.0583922492799,80.93901505486093,81.98500904626518,62.042389210019266,70.92288242730721,68.12386156648452,69.49519975224527,68.18911245525244,75.96737084291989,71.7786561264822,73.81363682552585,52.40376672724268,24.566330745085082,10.6889145878077,12.34098793986453,43.23699421965318,18.80539499036609,17.726396917148364,20.23121387283237,44.833971114677205,23.35514134057524,14.183434143932846,17.627453400814712,0.7121008600509766,0.7218563153207297,0.5650911927223206,0.5674378253325622,0.7677710768155029,0.8149958551296345
12,76.72228646951925,85.09507829977629,77.6473590201582,81.20080053368913,59.65317919075145,70.3527815468114,62.96296296296296,66.45305991669336,67.90519688927293,75.57172557172557,71.83794466403161,73.65754812563323,50.27259210308937,26.44969436642987,8.80555096646291,14.472162564017843,39.96146435452793,19.691714836223507,16.840077071290942,23.50674373795761,44.87100357980496,23.03419330946797,14.504382175040117,17.59042093568695,0.7034873526884878,0.7212511787421785,0.5714044570922852,0.5402544823597455,0.7615279442613127,0.813566589486322
13,75.99537419461424,82.88,79.30594539423322,81.05359238492632,59.96146435452794,69.68911917098445,65.33090467516696,67.43967408335945,66.90532033082336,76.46273637374861,67.92490118577075,71.94139194139194,51.34643978192632,24.64893441268792,10.606310920204857,13.3983148851809,41.46435452793834,18.497109826589593,18.034682080924856,22.003853564547207,42.42686088137267,24.478459449450686,13.060116035057401,20.034563634119245,0.7129446640316206,0.7237680317159685,0.5612897276878357,0.5645652593021014,0.7608162271501349,0.8215133064631392
14,77.20138774161572,84.73324213406292,79.02526154631283,81.77977290731451,60.924855491329474,70.53861129136924,65.99878567091682,68.19322459222082,66.79422293544008,75.46196819939837,69.40711462450592,72.30800905908997,51.16471171320006,26.036676028415663,9.218569304477118,13.580042953907153,41.88824662813102,19.03660886319846,17.495183044315993,21.57996146435453,43.35267250956672,23.44155042587335,14.097025058634735,19.108752005925194,0.699813322016759,0.7234227740320236,0.5624702572822571,0.5831019857335648,0.7717916541804015,0.84589657833805
15,80.88551131670246,85.2655771195097,85.20030620056137,85.23292916400766,62.89017341040463,70.77764277035237,70.73466909532483,70.7561494078348,69.11492408344648,75.04896200548374,75.73122529644269,75.38855006885697,55.1627292251776,25.722782091524866,9.532463241367918,9.582025441929622,44.89402697495183,17.996146435452793,18.535645472061656,18.57418111753372,47.30280212319467,21.812121960251822,15.726453524256264,15.158622392297247,0.7129741035882464,0.7365709154687278,0.5522739887237549,0.5910352805089647,0.7842186095295174,0.8296601206300203
16,79.9768709730712,84.78540221022874,84.17963766266905,84.48143405889886,60.96339113680153,70.16539440203562,66.97024893746205,68.53059956508231,69.1025799284039,76.24717717101211,73.399209486166,74.79609304198972,54.50189988435486,25.47497108871634,9.780274244176441,10.242854782752355,42.50481695568401,18.458574181117534,18.07321772639692,20.96339113680154,45.84619182816937,23.256388100234542,14.282187384273545,16.615232687322553,0.7245656853047872,0.7386288516861765,0.5454150438308716,0.608723732407943,0.8031727599640396,0.8309464597090015
17,82.19064926482736,84.79059515062454,88.33886195458025,86.52836790802299,62.350674373795755,69.29723502304147,73.04189435336977,71.1203074194502,69.75682014566102,73.4375,80.81027667984189,76.94768535942794,57.1947794482075,24.99586981661986,10.259375516272923,7.54997521889972,46.358381502890175,15.992292870905588,20.539499036608863,17.109826589595375,50.47524996913961,19.281570176521416,18.257005307986667,11.986174546352302,0.7082539613425478,0.7368175302957911,0.5465289354324341,0.6238866396761134,0.7960243731894916,0.8484978418088786
18,83.3636213447877,87.18079673135854,87.11405970910947,87.14741544352268,61.27167630057804,69.83930778739185,68.60959319975713,69.21898928024504,69.15195654857425,74.84960217349116,76.22529644268775,75.53118574366006,56.40178423922022,26.961837105567486,8.293408227325292,8.342970427886998,43.54527938342967,17.726396917148364,18.80539499036609,19.922928709055874,47.61140599925935,21.5405505493149,15.998024935193186,14.850018516232563,0.7213097548263325,0.7513297419833006,0.5477575659751892,0.6101503759398496,0.7911578513635001,0.8741960380756367
19,82.42193953411532,86.64955070603338,86.11890788466445,86.38341438443818,60.73217726396917,69.454770755886,68.06314511232544,68.75191659000308,68.05332674978398,75.80375782881002,71.7588932806324,73.7258883248731,55.757475631918055,26.664463902197255,8.590781430695522,8.987279035189163,43.19845857418112,17.533718689788053,18.998073217726397,20.26974951830443,44.821626959634614,23.231699790149367,14.30687569435872,17.6397975558573,0.7113741969109912,0.7439109630330898,0.5373749732971191,0.6321573163678427,0.799941938867246,0.8544721721979247
