,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hct116 spearman corr,hela spearman corr,hl60 spearman corr,hct116 P value,hela P value,hl60 P value
39,0.9687237577279895,0.0,-0.09460326136901412,1.5020414497091648e-10,0.6568224260810319,0.0,0.028542157262563705,0.0016194699564948678,0.01384718343615532,0.003957374952733517,0.8721481022394217,0.8104369490622333,0.7515882011721485,6.829947835404013e-265,0.0,8.0811464542089e-77
40,0.9619674519212704,0.0,-0.08042116826179728,5.281561239792267e-08,0.6530896908218076,0.0,0.02928847447037697,0.0018135192804038525,0.014241769909858704,0.004493233282119036,0.8646095831054694,0.8079882421871278,0.7856496822930905,4.1832417348639427e-255,0.0,2.3005142727561662e-88
41,0.9599906873465948,0.0,-0.10213357581710944,4.593769380210311e-12,0.645263590368245,0.0,0.03322301059961319,0.0039528231136500835,0.01678319275379181,0.003970713820308447,0.864552072384086,0.8025021639116912,0.7576608037018022,4.941892463012786e-255,0.0,9.776624586972392e-79
42,0.9481190981483216,0.0,-0.10051494694637163,9.937813264591344e-12,0.6392314106486594,0.0,0.02953464910387993,0.0026344098150730133,0.014788022264838219,0.003802419174462557,0.828669662337336,0.7978676229994325,0.7403231075936286,2.0635893557103896e-215,0.0,2.0940181522126238e-73
43,0.9062654544104386,0.0,-0.08935427301307351,1.4637187113352153e-09,0.5979244852183824,0.0,0.03693564236164093,0.007475313730537891,0.020230067893862724,0.007333928719162941,0.7876021564936392,0.7847890240598216,0.7278051886572299,4.330901214155623e-180,0.0,8.161800918406276e-70
44,0.8995585405468048,0.0,-0.06975574256373979,2.3816881383062553e-06,0.6046778928970674,0.0,0.03408331423997879,0.006810604594647884,0.018966756761074066,0.005732196848839521,0.730635263182418,0.7832850349140715,0.6676255659050147,2.33916115005159e-142,0.0,5.2320289269410434e-55
45,0.9541931366268569,0.0,-0.10345456701215196,2.425336561546083e-12,0.6425477216900173,0.0,0.02773127146065235,0.002460372168570757,0.01423573773354292,0.005085636395961046,0.8617357492355835,0.7967293709028207,0.7733012848294117,1.578319374199832e-251,0.0,6.026546191866207e-84
46,0.9517741921369437,0.0,-0.09667657211204306,5.902094174477875e-11,0.6416959650422056,0.0,0.027607198804616928,0.00275590131059289,0.014350241981446743,0.0043354579247534275,0.8416223362235481,0.8008724543720892,0.7403381094938692,1.4560447973190136e-228,0.0,2.0727786202302236e-73
47,0.9011430078945716,0.0,-0.060198395768013425,4.6949644159495114e-05,0.6089817215760378,0.0,0.03525134548544884,0.008808525279164314,0.020780067890882492,0.005765609908849001,0.7446868690532087,0.7934088446886873,0.6493075789600016,1.0096825077301332e-150,0.0,3.6350442592880105e-51
48,0.9451065942475223,0.0,-0.06393190371163443,1.5374142380506814e-05,0.6424505823534967,0.0,0.030988087877631187,0.0044079311192035675,0.016567597165703773,0.004935637582093477,0.833830140200168,0.7996586325551558,0.6994507637634101,1.6267843247206308e-220,0.0,2.2374321145986815e-62
49,0.9637610984028068,0.0,-0.09403117948393992,1.936910061949175e-10,0.6508038091584166,0.0,0.02830919437110424,0.0025596613995730877,0.014531022869050503,0.0039808377623558044,0.8741696262344764,0.8019710164125975,0.7733259546209187,1.2699787018442826e-267,0.0,5.9091073762183125e-84
