,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score
77,90.6960163978255,92.48571030252334,92.92618013727413,92.7054220234768,70.42938158250067,74.88933601609658,79.80274442538592,77.26800913431596,70.24657534246576,74.48,80.60606060606061,77.42203742203742,59.121290437572405,31.574725960253097,4.8034934497816595,4.500490152392835,50.25654874426141,20.172832838239266,16.851201728328384,12.719416689170943,51.013698630136986,19.232876712328768,17.47945205479452,12.273972602739725,0.7028409898559153,0.8381415655024074
78,91.02575528027805,92.94117647058823,92.95419526544335,92.94768541214371,69.26816095058061,75.51282051282051,75.77186963979416,75.64212328767123,68.87671232876713,74.89397794741306,76.45021645021644,75.66409597257926,59.139114160948225,31.886641119329827,4.491578290704928,4.482666429017022,47.718066432622194,21.550094517958414,15.473940048609236,15.257899000810154,48.38356164383561,20.493150684931507,16.21917808219178,14.904109589041095,0.6972507591910576,0.8338206302759059
79,90.42866054718831,91.12979791129798,94.11682308446561,92.59922822491731,70.32136105860114,73.55750859763087,82.54716981132076,77.7934936350778,69.97260273972603,73.0098559514784,83.37662337662337,77.8496362166532,59.878798681044465,30.549861866143836,5.828357543890919,3.7429819089207736,51.98487712665406,18.336483931947072,18.687550634620578,10.991088306778288,52.76712328767124,17.205479452054796,19.506849315068493,10.52054794520548,0.6870750145377011,0.8350247248059488
80,88.62846448623117,87.83068783068782,95.3354811598263,91.4293390650188,69.78125843910344,71.52999645012424,86.4065180102916,78.26762478151097,70.13698630136986,71.7546362339515,87.0995670995671,78.68596010950331,60.654130647892345,27.97433383833883,8.403885571695929,2.967649942072899,54.41533891439373,15.365919524709696,21.658115041857954,8.560626519038617,55.12328767123288,15.013698630136988,21.698630136986303,8.164383561643836,0.6819441752277573,0.828186160434845
81,90.1345691114874,92.40719910011248,92.05771116402858,92.23212406146936,69.34917634350526,75.22123893805309,76.54373927958834,75.87672688629118,69.2054794520548,74.81171548117155,77.40259740259741,76.08510638297872,58.5687550129222,31.56581409856519,4.812405311469567,5.053025577043044,48.20415879017013,21.145017553335133,15.879017013232513,14.77180664326222,48.986301369863014,20.21917808219178,16.493150684931507,14.301369863013699,0.6852904309620728,0.831204081619479
82,90.33954193030924,91.77590727197462,93.16430872671242,92.46489642708188,69.94328922495274,75.68478718921196,77.01543739279589,76.3443145589798,68.98630136986301,74.35897435897436,77.83549783549783,76.0575296108291,59.272792086266826,31.06674984404242,5.311469565992335,4.348988503698423,48.50121523089387,21.442073994058873,15.581960572508777,14.474750202538484,49.26027397260274,19.726027397260275,16.986301369863014,14.027397260273972,0.6927951153324288,0.831063348786971
83,90.94554852508689,92.59774593015166,93.22033898305084,92.90799944157476,69.8622738320281,76.52705061082024,75.21440823327616,75.86505190311419,68.71232876712328,75.12908777969018,75.58441558441558,75.35606387570132,59.30843953301844,31.63710899206844,4.741110417966313,4.313341056946796,47.36699972994869,22.495274102079396,14.528760464488252,15.608965703483662,47.83561643835617,20.876712328767123,15.835616438356166,15.452054794520548,0.6963397299218195,0.8337558699646763
84,89.90286070760182,90.6800325115145,93.76663398235047,92.19750705874252,70.10532001080205,74.66774063632703,79.50257289879931,77.00934579439253,70.52054794520548,74.42596991290577,81.38528138528139,77.75020678246484,59.65600213884681,30.246858568755012,6.131360841279744,3.965778451118439,50.06751282743721,20.03780718336484,16.98622738320281,12.908452605995139,51.50684931506849,19.013698630136986,17.698630136986303,11.78082191780822,0.6942430703624733,0.8297906361462162
85,90.9633722484627,91.83171697855485,94.17285334080402,92.98755186721992,69.59222252227923,74.81481481481481,77.95883361921098,76.35447291054179,68.65753424657535,74.64074387151311,76.45021645021644,75.53464499572283,59.9144461277961,31.048926120666607,5.329293289368149,3.707334462169147,49.09532811234135,20.496894409937887,16.52714015662976,13.880637321091008,48.38356164383561,20.273972602739725,16.43835616438356,14.904109589041095,0.6910828972023002,0.8312650609798213
86,90.63363336601016,91.85918591859186,93.57052808516599,92.7069599611408,69.80826357007831,75.39748953974895,77.27272727272727,76.32359169843286,68.71232876712328,74.82993197278913,76.19047619047619,75.5040755040755,59.53123607521611,31.10239729079405,5.2758221192407095,4.090544514749131,48.66324601674318,21.145017553335133,15.879017013232513,14.312719416689172,48.21917808219178,20.493150684931507,16.21917808219178,15.068493150684931,0.6910486528396977,0.8345621500564729
87,86.83718028696194,93.48694316436253,85.25003501891021,89.17869440984686,67.08074534161491,78.61182519280206,65.56603773584906,71.49871405190554,67.2876712328767,78.29614604462475,66.83982683982684,72.11583372255956,54.23759023259959,32.59959005436235,3.7786293556724,9.384190357365654,41.29084526059951,25.789900081015393,11.234134485552255,21.68512017283284,42.3013698630137,24.986301369863014,11.726027397260275,20.986301369863014,0.7041991341991342,0.8298262016761047
88,88.96711523037163,93.60130042855032,88.72391091189242,91.09736804257156,68.45800702133405,77.55681818181817,70.2401372212693,73.7173717371737,67.17808219178082,76.22641509433963,69.95670995670996,72.95711060948081,56.44773193120043,32.519383299171196,3.8588361108635594,7.174048658764816,44.234404536862,24.22360248447205,12.800432082095597,18.74156089657035,44.273972602739725,22.904109589041095,13.808219178082194,19.013698630136986,0.6862253666731278,0.8272348824135033
89,89.93850815435344,91.13057760744594,93.26236167530466,92.18414676358601,70.15933027275182,74.20118343195267,80.66037735849056,77.29607561125951,69.97260273972603,73.87883556254917,81.2987012987013,77.41137675185492,59.33517511808216,30.60333303627128,5.774886373763479,4.286605471883076,50.79665136375912,19.36267890899271,17.66135565757494,12.179314069673238,51.45205479452055,18.52054794520548,18.191780821917806,11.835616438356164,0.6896846934160367,0.835572639920466
90,90.82969432314411,91.86078377637709,93.90670962319653,92.87248043222276,71.32055090467189,74.78532396565184,82.16123499142367,78.29995913363302,69.75342465753425,73.53629976580797,81.55844155844156,77.33990147783251,59.745120755725864,31.084573567418232,5.293645842616523,3.8766598342393723,51.741830947880096,19.57871995679179,17.44531460977586,11.234134485552255,51.61643835616439,18.136986301369863,18.575342465753426,11.67123287671233,0.6900038767202947,0.840601758006909
