,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hela AUC score,hl60 AUC score
10,71.59986296676945,83.28587075575027,68.80202678248281,75.35427608760281,61.55075939248601,74.8281332628239,59.40386230058774,66.22981511818395,67.94055201698514,78.87802804929876,68.28550404709345,73.20055215933742,43.41669521525637,28.18316775151308,8.71302957633893,19.687107456891628,37.70317079669598,23.847588595790032,12.683186783906208,25.76605382360778,43.78391129983486,24.15664071715027,11.724463316820005,20.33498466619486,0.7148793515748857,0.7314412871045384,0.5812605023384094,0.5133314054366686,0.7655680367460286,0.7919275076465712
11,74.74020783373302,83.17981577893472,75.17191458559537,78.97338403041823,62.88302691180389,72.9041222788328,66.07892527287993,69.32393745870952,69.92215145081387,77.80346820809248,74.28256070640177,76.00225861095427,47.43633664496974,27.303871188763274,9.59232613908873,15.667466027178257,41.939781508126835,20.943245403677057,15.587529976019185,21.529443112176924,47.62915782024063,22.29299363057325,13.588110403397028,16.4897381457891,0.7165012367933068,0.7338061181871761,0.5779076218605042,0.5580296896086369,0.7730139771785052,0.8063202126747278
12,73.92942788626242,84.34653675068841,72.05935577271082,77.72030838294135,61.89714894750866,73.91959798994975,61.75482787573468,67.291857273559,67.39797121962727,78.25719120135363,68.06475349521706,72.805981896891,45.472193673632525,28.457234212629896,8.438963115222107,17.631608998515475,39.195310418332,22.70183852917666,13.828936850519586,24.273914201971756,43.64236848313281,23.755602736494456,12.12550129747582,20.47652748289691,0.6997934001245261,0.7282063224322985,0.5728960633277893,0.5473780605359553,0.773561811505508,0.8174256067232656
13,76.7842868562293,84.25181408119239,77.74158523344191,80.86588235294118,63.86890487609912,73.59705611775529,67.17044500419816,70.23705004389815,71.17244633168201,78.5060975609756,75.79102281089037,77.12467240733807,49.05789653991093,27.726390316318373,9.16980701153363,14.045906132237068,42.63256061817213,21.23634425792699,15.29443112176925,20.836664002131627,48.59636706770465,22.576079263977352,13.305024769992924,15.522528898325078,0.7265635771748864,0.7470039960347354,0.5733168125152588,0.562753036437247,0.7843194351219385,0.8128948346339651
14,75.53956834532374,83.9214113873296,75.75099529496924,79.6271637816245,64.18864908073542,74.62049335863378,66.0369437447523,70.06681514476614,70.79499882047654,78.5935085007728,74.83443708609272,76.66792310591782,47.8017585931255,27.73780975219824,9.158387575653764,15.302044079022497,41.913136157740475,22.275512922994935,14.255262456701306,21.556088462563284,47.983014861995755,22.811983958480774,13.0691200754895,16.13588110403397,0.716941480059157,0.7419590625073871,0.5679666996002197,0.5637459032195874,0.7812117503059975,0.8136094674556213
15,77.1725476761448,84.22278284494469,78.53782120883098,81.28101882198708,63.549160671462836,72.75583482944344,68.05205709487825,70.32537960954447,70.79499882047654,78.68217054263566,74.68727005150846,76.63269158172895,49.5603517186251,27.6121959575197,9.284001370332305,13.543450953522896,43.19211297628564,20.35704769517719,16.17372768451905,20.27711164401812,47.88865298419439,22.906345836282142,12.974758197688132,16.23024298183534,0.7330430146697764,0.7503702104228274,0.5635905861854553,0.5519278966647388,0.787120299811795,0.8526427121744848
16,77.81203608541738,82.80534700604285,81.83134274339487,82.31546372986257,64.3218758326672,71.7201166180758,72.29219143576826,72.00501777127326,71.24321774003303,77.2843101565344,78.10890360559235,77.69441903019214,51.63868904876099,26.17334703665639,10.722850291195615,11.465113623387005,45.88329336530775,18.438582467359446,18.092192912336795,17.585931254996005,50.0825666430762,21.16065109695683,14.720452937013448,14.036329322953527,0.7289535901354547,0.7468174537545902,0.5721223950386047,0.5849720454983613,0.786654722891249,0.8078066489437726
17,76.19047619047619,83.54455059465784,77.54252623959465,80.43172219615204,63.60245137223555,73.15405651777576,67.38035264483628,70.1486013986014,68.20004718093891,78.92736486486487,68.76379690949227,73.4958710184821,48.932282745232385,27.258193445243805,9.6380038826082,14.171519926915611,42.76578737010392,20.836664002131627,15.694111377564615,20.70343725019984,44.090587402689316,24.109459778249587,11.771644255720688,20.02830856334041,0.7216178552992953,0.7424777982102823,0.5704866647720337,0.5543281280123386,0.7672798133743962,0.8378783980790672
18,75.88215142171977,85.99746942218474,73.79659790083242,79.43124269575381,61.60405009325872,73.82278481012659,61.20906801007556,66.92678448473721,67.96414248643548,81.39427516158818,64.86387049300957,72.1949221949222,46.56845951809981,29.313691903619958,7.582505424232043,16.535343154048192,38.84892086330935,22.755129229949375,13.775646149746871,24.620303756994407,41.58999764095305,26.374144845482423,9.506959188487851,22.528898325076668,0.7227922404947367,0.7467855154783982,0.5624878406524658,0.5691632928475034,0.7925731432858214,0.827344710287854
19,79.15952951924174,84.06037180195104,82.64567499095186,83.34702071356875,63.442579269917395,70.8505367464905,72.04030226700252,71.44046627810158,71.6206652512385,78.63894139886578,76.52685798381162,77.56852507924668,52.15256366335503,27.006965855886715,9.889231471965285,10.951239008792966,45.72342126298961,17.719158006927792,18.811617372768453,17.74580335731415,49.068176456711484,22.55248879452701,13.328615239443264,15.050719509318236,0.7292655097460666,0.7529188172361808,0.5700480341911316,0.5848081742818585,0.7927393032468644,0.8258153960495097
